,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
27,27,Israel,"4,074,119","+2,628","10,695 ",,"4,038,393","+4,921","25,031",220,"436,856","1,147","41,373,364","4,436,346","9,326,000 "
28,28,Belgium,"4,056,448",,"31,439 ",,"3,788,380","+19,596","236,629",150,"347,254","2,691","33,531,891","2,870,513","11,681,499 "
29,29,Czechia,"3,903,665","+1,556","40,147 ",+10,"3,845,021","+1,091","18,497",33,"363,295","3,736","55,186,195","5,135,908","10,745,169 "
30,30,Portugal,"3,853,800","+12,588","22,280 ",+11,N/A,N/A,N/A,61,"379,963","2,197","41,218,424","4,063,908","10,142,559 "
31,31,South Africa,"3,785,398","+4,954","100,360 ",+5,"3,646,241","+5,670","38,797",192,"62,393","1,654","24,454,151","403,064","60,670,648 "
32,32,Canada,"3,746,284","+5,165","39,230 ",+53,"3,451,808","+3,478","255,246",468,"97,700","1,023","60,871,310","1,587,468","38,344,917 "
33,33,Philippines,"3,685,403",+184,"60,305 ",+38,"3,616,709","+1,339","8,389",289,"32,836",537,"29,541,239","263,203","112,237,488 "
34,34,Switzerland,"3,602,489",,"13,859 ",+2,"3,459,053","+32,263","129,577",87,"410,778","1,580","20,767,523","2,368,043","8,769,910 "
35,35,Peru,"3,564,558",+629,"212,810 ",+12,N/A,N/A,N/A,302,"105,434","6,295","29,813,461","881,836","33,808,382 "
36,36,Chile,"3,556,333","+2,377","57,509  ",+14,"3,406,930","+5,899","91,894",231,"183,174","2,962","36,955,800","1,903,457","19,415,094 "
37,37,Greece,"3,317,425","+7,463","29,114 ",+41,"3,209,096","+13,593","79,215",244,"321,134","2,818","79,660,677","7,711,338","10,330,331 "
38,38,Denmark,"2,965,204",+867,"6,149 ",+14,"2,940,457","+1,349","18,598",13,"508,668","1,055","127,207,133","21,821,816","5,829,356 "
39,39,Romania,"2,892,989","+1,016","65,478 ",+7,"2,606,660",,"220,851",200,"152,231","3,445","22,684,309","1,193,661","19,003,982 "
40,40,Sweden,"2,500,917",,"18,739 ",,"2,468,078",,"14,100",21,"244,853","1,835","18,513,445","1,812,561","10,213,973 "
41,41,Iraq,"2,324,982",+135,"25,211 ",+2,"2,297,546",+243,"2,225",21,"55,534",602,"18,474,304","441,273","41,865,898 "
42,42,Serbia,"2,005,832",+760,"15,984 ",+4,"1,972,747",,"17,101",26,"231,266","1,843","9,481,282","1,093,161","8,673,273 "
43,43,Bangladesh,"1,952,674",+30,"29,127 ",,"1,895,146",+326,"28,401","1,297","11,645",174,"13,987,528","83,419","167,677,969 "
44,44,Hungary,"1,901,017","+1,384","46,201 ",+12,"1,804,295","+2,482","50,521",41,"197,700","4,805","11,339,446","1,179,267","9,615,674 "
45,45,Slovakia,"1,780,022",+926,"19,891 ",+12,"1,742,391","+2,471","17,740",70,"325,745","3,640","7,084,258","1,296,424","5,464,459 "
46,46,Jordan,"1,694,216",,"14,048 ",,"1,678,941",,"1,227",124,"163,099","1,352","16,670,254","1,604,818","10,387,632 "
47,47,Georgia,"1,654,945",+148,"16,807 ",+2,"1,636,800",+280,"1,338",,"416,315","4,228","16,885,842","4,247,775","3,975,220 "
48,48,Pakistan,"1,528,347",+75,"30,371 ",,"1,494,141",,"3,835",138,"6,683",133,"28,137,765","123,032","228,702,716 "
49,49,Ireland,"1,517,112",+959,"7,087 ",+11,"1,447,106","+5,348","62,919",39,"301,119","1,407","12,063,637","2,394,410","5,038,250 "
50,50,Norway,"1,425,809",+345,"2,932 ",,N/A,N/A,N/A,20,"259,311",533,"11,002,430","2,001,004","5,498,456 "
51,51,Kazakhstan,"1,305,521",+17,"13,660 ",,"1,291,055",+11,806,24,"68,046",712,"11,575,012","603,312","19,185,784 "
52,52,Hong Kong,"1,203,847",+366,"9,298 ",+11,N/A,N/A,N/A,115,"158,239","1,222","44,972,952","5,911,450","7,607,770 "
53,53,Singapore,"1,195,767","+2,517","1,334 ",,"1,130,012","+5,769","64,421",6,"201,506",225,"23,712,995","3,996,022","5,934,151 "
54,54,Morocco,"1,164,907",+42,"16,069 ",,"1,148,436",+30,402,293,"30,893",426,"11,237,010","298,005","37,707,412 "
55,55,Bulgaria,"1,156,466",+491,"36,911 ",+10,"978,104","+3,919","141,451",82,"168,749","5,386","9,843,550","1,436,345","6,853,191 "
56,56,Croatia,"1,121,662",+896,"15,822 ",+5,"1,099,822",+962,"6,018",24,"276,328","3,898","4,783,774","1,178,513","4,059,162 "
57,57,Cuba,"1,102,750",+191,"8,526 ",+1,"1,093,247",+221,977,23,"97,468",754,"12,920,253","1,141,968","11,314,024 "
58,58,Lebanon,"1,096,854",+91,"10,384 ",+2,"1,081,392",+361,"5,078",186,"162,022","1,534","4,795,578","708,380","6,769,778 "
59,59,Lithuania,"1,057,691",+543,"9,092 ",+5,"1,022,520","+1,026","26,079",29,"398,657","3,427","8,242,836","3,106,831","2,653,133 "
60,60,Tunisia,"1,040,193",,"28,550 ",,N/A,N/A,N/A,29,"86,367","2,371","4,572,976","379,693","12,043,871 "
61,61,Finland,"1,023,013",,"3,939 ",,"46,000",,"973,074",24,"184,114",709,"10,720,282","1,929,358","5,556,398 "
62,62,Slovenia,"1,009,085","+1,249","6,592 ",+4,"989,018","+1,351","13,475",23,"485,263","3,170","2,645,195","1,272,060","2,079,458 "
63,63,Belarus,"979,909",+563,"6,943 ",+3,"928,536",,"44,430",,"103,764",735,"13,147,723","1,392,227","9,443,662 "
64,64,Nepal,"978,806",+13,"11,951 ",,"966,612",+19,243,,"32,528",397,"5,635,237","187,272","30,091,143 "
65,65,New Zealand,"923,847","+8,325",696 ,+13,"869,922","+9,438","53,229",,"184,692",139,"7,075,276","1,414,461","5,002,100 "
66,66,Bolivia,"904,883",+125,"21,910 ",,"858,053",+576,"24,920",220,"75,640","1,831","2,699,040","225,615","11,963,027 "
67,67,UAE,"898,310",+265,"2,302 ",,"881,516",+368,"14,492",,"88,871",228,"155,670,872","15,400,677","10,108,054 "
68,68,Uruguay,"895,775",,"7,197 ",,"886,654",,"1,924",18,"256,254","2,059","6,091,188","1,742,501","3,495,659 "
69,69,Ecuador,"869,124",,"35,588 ",,N/A,N/A,N/A,759,"47,936","1,963","2,470,170","136,240","18,130,976 "
70,70,Costa Rica,"852,074",,"8,405 ",,"832,853",,"10,816",45,"164,530","1,623","4,291,131","828,588","5,178,848 "
71,71,Guatemala,"845,868",+879,"17,566 ",+21,"825,981",+839,"2,321",5,"45,676",949,"4,454,022","240,510","18,519,069 "
72,72,Latvia,"822,013",+411,"5,760 ",+1,"808,909",+952,"7,344",11,"444,758","3,117","7,174,863","3,882,025","1,848,227 "
73,73,Azerbaijan,"792,558",+37,"9,709 ",+2,"782,744",+69,105,,"76,905",942,"6,811,382","660,937","10,305,641 "
74,74,Panama,"775,488",+939,"8,184 ",,"761,669",+546,"5,635",8,"174,720","1,844","5,865,660","1,321,551","4,438,467 "
75,75,Saudi Arabia,"753,921",+99,"9,086 ",+1,"741,540",+151,"3,295",45,"21,058",254,"41,883,167","1,169,879","35,801,287 "
76,76,Sri Lanka,"663,329",+28,"16,504 ",,"646,121",+3,704,,"30,743",765,"6,486,117","300,606","21,576,791 "
77,77,Paraguay,"649,455",+421,"18,795 ",,"624,673",,"5,987",2,"89,063","2,577","2,623,300","359,745","7,292,115 "
78,78,Kuwait,"631,409",,"2,555 ",,"628,090",,764,8,"143,973",583,"8,007,805","1,825,933","4,385,597 "
79,79,Myanmar,"612,864",+21,"19,434 ",,"591,794",,"1,636",,"11,128",353,"7,946,399","144,285","55,074,209 "
80,80,Palestine,"581,940",,"5,353 ",,"576,242",,345,17,"109,442","1,007","3,078,533","578,962","5,317,330 "
81,81,Dominican Republic,"579,248",,"4,376 ",,"574,601",,271,6,"52,439",396,"3,274,131","296,407","11,046,055 "
82,82,Estonia,"571,917",+292,"2,538 ",+1,"510,350",+608,"59,029",3,"430,609","1,911","3,324,537","2,503,115","1,328,160 "
83,83,Bahrain,"568,367",+379,"1,475 ",,"563,473",+485,"3,419",3,"314,150",815,"9,718,604","5,371,706","1,809,221 "
84,84,Venezuela,"522,305",+34,"5,708 ",+1,"515,666",+13,931,230,"18,463",202,"3,359,014","118,738","28,289,197 "
85,85,Moldova,"516,986",,"11,489 ",,"504,142",,"1,355",49,"128,703","2,860","3,216,305","800,696","4,016,887 "
86,86,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,872",233,"3,693,367","34,893","105,849,163 "
87,87,Libya,"501,904",,"6,430 ",,"490,973",,"4,501",101,"71,278",913,"2,477,219","351,804","7,041,471 "
88,88,Ethiopia,"470,550",+35,"7,510 ",,"455,380",+88,"7,660",11,"3,916",63,"4,785,267","39,828","120,148,051 "
89,89,Cyprus,"470,481",,"1,011 ",,"124,370",,"345,100",60,"384,578",826,"9,477,138","7,746,760","1,223,368 "
90,90,Mongolia,"469,830",+76,"2,179 ",+2,"313,256",,"154,395",192,"139,232",646,"4,030,048","1,194,288","3,374,435 "
91,91,Honduras,"423,179",,"10,893 ",,"132,318",,"279,968",105,"41,523","1,069","1,263,329","123,959","10,191,498 "
92,92,Armenia,"422,865",+7,"8,622 ",,"411,038",+224,"3,205",,"142,219","2,900","3,048,431","1,025,258","2,973,331 "
93,93,Oman,"389,126",,"4,258 ",,"384,243",,625,4,"72,828",797,"25,000,000","4,678,957","5,343,071 "
94,94,Bosnia and Herzegovina,"377,087",+44,"15,765 ",+1,"192,218",,"169,104",,"116,254","4,860","1,758,191","542,040","3,243,655 "
95,95,Réunion,"374,295",,742 ,,"355,605",,"17,948",10,"412,696",818,"1,603,660","1,768,190","906,950 "
96,96,Qatar,"364,560",+62,677 ,,"363,286",+99,597,3,"129,838",241,"3,437,848","1,224,390","2,807,805 "
97,97,Kenya,"323,760",+15,"5,649 ",,"317,932",,179,,"5,789",101,"3,596,467","64,305","55,927,898 "
98,98,Zambia,"319,594",,"3,976 ",,"314,690",,928,,"16,541",206,"3,423,665","177,197","19,321,198 "
99,99,North Macedonia,"309,571",+137,"9,280 ",+2,"299,738",+85,553,,"148,602","4,455","2,018,029","968,708","2,083,218 "
100,100,Botswana,"305,859",,"2,688 ",,"303,026",,145,1,"125,450","1,103","2,026,898","831,348","2,438,087 "
101,101,Albania,"275,055",+53,"3,496 ",,"271,185",+90,374,2,"95,769","1,217","1,805,355","628,589","2,872,074 "
102,102,Algeria,"265,779",+3,"6,875 ",,"178,355",+2,"80,549",6,"5,868",152,"230,861","5,097","45,293,023 "
103,103,Nigeria,"255,716",,"3,143 ",,"249,896",,"2,677",11,"1,187",15,"5,075,820","23,560","215,441,397 "
104,104,Zimbabwe,"247,842",+58,"5,469 ",,"241,643",+40,730,12,"16,245",358,"2,254,801","147,788","15,256,978 "
105,105,Uzbekistan,"238,577",+21,"1,637 ",,"236,650",+45,290,23,"6,945",48,"1,377,915","40,111","34,352,628 "
106,106,Luxembourg,"237,856",+608,"1,064 ",,"227,197","+1,001","9,595",3,"369,041","1,651","4,227,288","6,558,765","644,525 "
107,107,Montenegro,"235,151",+89,"2,714 ",,"231,708",+79,729,6,"374,319","4,320","2,451,073","3,901,672","628,211 "
108,108,Mozambique,"225,383",+4,"2,201 ",,"223,113",,69,13,"6,861",67,"1,312,475","39,954","32,849,499 "
109,109,Laos,"207,196",+315,743 ,+3,"7,660",,"198,793",,"27,745",99,"1,232,128","164,991","7,467,841 "
110,110,Kyrgyzstan,"200,992",,"2,991 ",,"196,400",,"1,601",131,"29,909",445,"1,907,195","283,799","6,720,222 "
111,111,Iceland,"185,579",,119 ,,"75,685",,"109,775",,"537,479",345,"1,953,616","5,658,112","345,277 "
112,112,Maldives,"179,171",,298 ,,"163,687",,"15,186",25,"321,163",534,"2,213,831","3,968,285","557,881 "
113,113,Afghanistan,"178,873",+23,"7,683 ",,"161,883",+34,"9,307","1,124","4,414",190,"943,950","23,293","40,524,618 "
114,114,Uganda,"164,069",,"3,596 ",,"100,205",,"60,268",2,"3,392",74,"2,612,795","54,016","48,370,334 "
115,115,El Salvador,"162,089",,"4,128 ",,"150,662",,"7,299",8,"24,762",631,"1,950,448","297,968","6,545,820 "
116,116,Ghana,"161,173",+3,"1,445 ",,"159,691",+12,37,1,"4,997",45,"2,435,846","75,521","32,253,981 "
117,117,Namibia,"158,649",+104,"4,025 ",,"153,662",,962,,"60,445","1,534","1,005,918","383,250","2,624,702 "
118,118,Martinique,"153,253",,926 ,,104,,"152,223",8,"408,964","2,471","828,928","2,212,038","374,735 "
119,119,Trinidad and Tobago,"147,450",+508,"3,824 ",+3,"135,209",+236,"8,417",18,"104,742","2,716","704,554","500,485","1,407,743 "
120,120,Brunei ,"141,748",+119,218 ,,"140,711",+136,819,,"318,457",490,"717,784","1,612,603","445,109 "
121,121,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,107","2,134","938,039","2,343,639","400,249 "
122,122,Cambodia,"136,246",+6,"3,056 ",,"133,050",+27,140,,"7,949",178,"2,951,847","172,216","17,140,382 "
123,123,Jamaica,"129,978",+116,"2,962 ",+7,"83,358",+102,"43,658",,"43,548",992,"996,159","333,754","2,984,710 "
124,124,Rwanda,"129,799",+14,"1,458 ",,"45,522",,"82,819",,"9,589",108,"5,261,793","388,704","13,536,758 "
125,125,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,317",69,"1,751,774","63,130","27,748,889 "
126,126,Taiwan,"100,753","+12,313",862 ,+2,"25,975",+575,"73,916",,"4,216",36,"14,683,203","614,481","23,895,294 "
127,127,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,856",55,"1,499,795","43,188","34,727,180 "
128,128,Malta,"91,605",+178,698 ,,"86,759",+403,"4,148",4,"206,464","1,573","1,879,995","4,237,229","443,685 "
129,129,DRC,"87,023",,"1,337 ",,"50,930",,"34,756",,921,14,"846,704","8,958","94,517,642 "
130,130,Senegal,"85,995",+1,"1,966 ",,"84,013",+2,16,,"4,901",112,"1,068,471","60,891","17,547,203 "
131,131,Malawi,"85,781",+14,"2,634 ",,"82,066",,"1,081",67,"4,283",132,"574,139","28,664","20,029,885 "
132,132,Ivory Coast,"81,930",+10,799 ,,"81,097",+7,34,,"2,972",29,"1,500,074","54,415","27,567,496 "
133,133,French Guiana,"80,859",,395 ,,"11,254",,"69,210",2,"258,520","1,263","627,211","2,005,304","312,776 "
134,134,Suriname,"79,336",,"1,328 ",,"49,401",,"28,607",,"133,068","2,227","235,950","395,752","596,206 "
135,135,Channel Islands,"74,383",+32,169 ,,"73,224",+83,990,,"420,761",956,"1,252,808","7,086,740","176,782 "
136,136,French Polynesia,"72,720",,648 ,,N/A,N/A,N/A,7,"256,177","2,283",,,"283,866 "
137,137,Eswatini,"70,626",+98,"1,397 ",,"68,823",+5,406,11,"59,749","1,182","1,014,847","858,553","1,182,044 "
138,138,Barbados,"69,562",+217,392 ,+2,"65,085",,"4,085",,"241,521","1,361","647,492","2,248,111","288,016 "
139,139,Fiji,"64,634",,862 ,,"62,763",,"1,009",,"71,161",949,"507,722","558,995","908,277 "
140,140,Madagascar,"64,152",,"1,391 ",,"59,370",,"3,391",14,"2,213",48,"422,372","14,571","28,987,021 "
141,141,Guyana,"63,457",,"1,228 ",,"62,130",,99,1,"79,975","1,548","594,884","749,729","793,465 "
142,142,Sudan,"62,117",,"4,931 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,315","45,713,308 "
143,143,New Caledonia,"60,517",,312 ,,"60,102",,103,9,"208,322","1,074","98,964","340,671","290,497 "
144,144,Bhutan,"59,054",+178,21 ,+1,"57,320",+737,"1,713",2,"75,029",27,"2,296,712","2,918,001","787,084 "
145,145,Mauritania,"58,687",+1,982 ,,"57,694",,11,,"12,045",202,"803,649","164,947","4,872,155 "
146,146,Belize,"57,497",+6,676 ,,"56,604",+7,217,6,"139,973","1,646","539,513","1,313,409","410,773 "
147,147,Cabo Verde,"56,020",+4,401 ,,"55,551",+1,68,23,"98,803",707,"400,982","707,217","566,986 "
148,148,Syria,"55,813",+3,"3,150 ",,"52,159",+11,504,,"3,054",172,"146,269","8,004","18,274,669 "
149,149,Gabon,"47,602",,304 ,,"47,285",,13,,"20,506",131,"1,593,622","686,506","2,321,353 "
150,150,Papua New Guinea,"43,800",,649 ,,"43,100",,51,7,"4,732",70,"249,149","26,919","9,255,648 "
151,151,Seychelles,"42,474",,166 ,,"41,727",,581,,"427,063","1,669",,,"99,456 "
152,152,Curaçao,"42,241",+275,274 ,+1,"41,612",+361,355,3,"255,518","1,657","496,693","3,004,525","165,315 "
153,153,Andorra,"41,349",,153 ,,"40,689",,507,14,"533,604","1,974","249,838","3,224,132","77,490 "
154,154,Burundi,"39,998",+204,38 ,,773,,"39,187",,"3,191",3,"345,742","27,581","12,535,422 "
155,155,Mauritius,"37,642",+28,990 ,,"35,895",+40,757,,"29,509",776,"358,675","281,179","1,275,612 "
156,156,Mayotte,"37,363",+325,187 ,,"2,964",,"34,212",,"131,191",657,"176,919","621,207","284,799 "
157,157,Togo,"36,985",,273 ,,"36,688",,24,,"4,285",32,"729,891","84,556","8,631,993 "
158,158,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,646",32,"660,107","47,899","13,781,279 "
159,159,Aruba,"34,846",+257,212 ,,"34,516",+265,118,3,"323,872","1,970","177,885","1,653,329","107,592 "
160,160,Faeroe Islands,"34,658",,28 ,,"7,693",,"26,937",5,"704,417",569,"778,000","15,812,687","49,201 "
161,161,Tanzania,"33,872",,803 ,,N/A,N/A,N/A,7,539,13,,,"62,831,447 "
162,162,Bahamas,"33,541",+14,789 ,,"32,351",+9,401,11,"83,834","1,972","229,817","574,416","400,088 "
163,163,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,144",321,"431,221","198,428","2,173,182 "
164,164,Mali,"30,815",+11,732 ,+1,"29,890",+5,193,,"1,446",34,"666,075","31,253","21,312,610 "
165,165,Haiti,"30,690",+35,835 ,,"29,520",+41,335,,"2,633",72,"132,422","11,361","11,655,706 "
166,166,Isle of Man,"28,416",,87 ,,"26,794",,"1,535",,"330,984","1,013","150,753","1,755,943","85,853 "
167,167,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,122",13,"604,310","47,579","12,701,283 "
168,168,Somalia,"26,485",,"1,350 ",,"13,182",,"11,953",,"1,586",81,"400,466","23,979","16,700,401 "
169,169,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,176",67,"347,815","60,328","5,765,366 "
170,170,Saint Lucia,"23,394",+33,368 ,,"22,815",+13,211,,"126,348","1,988","143,281","773,839","185,156 "
171,171,Timor-Leste,"22,863",,130 ,,"22,722",,11,,"16,760",95,"262,493","192,419","1,364,173 "
172,172,Cayman Islands,"22,223",,27 ,,"8,553",,"13,643",1,"331,054",402,"222,773","3,318,630","67,128 "
173,173,Burkina Faso,"20,853",,382 ,,"20,439",,32,,950,17,"248,995","11,345","21,946,718 "
174,174,Nicaragua,"18,491",,225 ,,"4,225",,"14,041",,"2,732",33,,,"6,768,109 "
175,175,Gibraltar,"17,837",+131,102 ,,"16,579",,"1,156",,"529,712","3,029","534,283","15,866,807","33,673 "
176,176,South Sudan,"17,461",+5,138 ,,"13,514",,"3,809",1,"1,527",12,"381,528","33,371","11,432,759 "
177,178,Liechtenstein,"17,171",+8,84 ,,"16,970",+22,117,1,"448,013","2,192","102,174","2,665,849","38,327 "
178,179,San Marino,"16,437",+251,115 ,+1,"15,960",+258,362,4,"482,575","3,376","149,271","4,382,461","34,061 "
179,180,Equatorial Guinea,"15,907",,183 ,,"15,698",,26,5,"10,698",123,"310,972","209,144","1,486,879 "
180,181,Djibouti,"15,611",,189 ,,"15,411",,11,,"15,393",186,"303,924","299,678","1,014,167 "
181,182,Solomon Islands,"14,786",,141 ,,"13,307",,"1,338",2,"20,606",197,"5,117","7,131","717,551 "
182,183,CAR,"14,649",,113 ,,"6,859",,"7,677",2,"2,940",23,"81,294","16,315","4,982,691 "
183,184,Grenada,"14,629",,220 ,,"14,029",,380,4,"128,921","1,939","149,943","1,321,398","113,473 "
184,185,Bermuda,"13,488",,131 ,,"12,981",,376,,"218,044","2,118","876,273","14,165,651","61,859 "
185,186,Dominica,"12,033",,63 ,,"11,929",,41,,"166,404",871,"188,110","2,601,366","72,312 "
186,187,Gambia,"11,995",,365 ,,"11,591",,39,,"4,722",144,"155,686","61,287","2,540,260 "
187,188,Greenland,"11,971",,21 ,,"2,761",,"9,189",4,"210,206",369,"164,926","2,896,030","56,949 "
188,189,Yemen,"11,818",,"2,149 ",,"9,009",,660,23,381,69,"265,253","8,550","31,022,030 "
189,190,Monaco,"11,762",+26,54 ,,"11,548",+29,160,4,"295,907","1,359","54,960","1,382,676","39,749 "
190,191,Saint Martin,"10,462",,63 ,,"1,399",,"9,000",7,"262,423","1,580","112,382","2,818,923","39,867 "
191,192,Tonga,"10,196",+131,11 ,,"8,923",+87,"1,262",,"94,515",102,"454,376","4,211,982","107,877 "
192,193,Sint Maarten,"10,036",,86 ,,"9,878",,72,10,"229,326","1,965","62,056","1,418,002","43,763 "
193,195,Caribbean Netherlands,"9,729",+16,34 ,,"9,619",+29,76,,"364,833","1,275","30,126","1,129,711","26,667 "
194,196,Samoa,"9,592",+597,19 ,+3,"1,605",,"7,968",4,"47,765",95,"65,949","328,405","200,816 "
195,197,Niger,"8,928",+4,309 ,,"8,518",,101,1,346,12,"250,056","9,692","25,801,341 "
196,198,Guinea-Bissau,"8,202",+12,171 ,,"7,528",,503,6,"3,996",83,"134,285","65,419","2,052,687 "
197,199,Comoros,"8,100",,160 ,,"7,933",,7,,"8,967",177,,,"903,330 "
198,200,Sierra Leone,"7,681",,125 ,,N/A,N/A,N/A,,929,15,"259,958","31,425","8,272,367 "
199,201,Antigua and Barbuda,"7,626",+22,136 ,,"7,443",+9,47,1,"76,716","1,368","18,901","190,139","99,406 "
200,202,Liberia,"7,434",,294 ,,"5,747",,"1,393",2,"1,410",56,"139,824","26,511","5,274,114 "
201,203,Chad,"7,411",,193 ,,"4,874",,"2,344",,429,11,"191,341","11,070","17,283,865 "
202,204,Vanuatu,"7,330",+185,13 ,,"6,726",+101,591,3,"22,891",41,"24,976","77,998","320,213 "
203,205,St. Vincent Grenadines,"6,784",,106 ,,"6,641",,37,,"60,798",950,"98,908","886,415","111,582 "
204,206,British Virgin Islands,"6,355",,62 ,,N/A,N/A,N/A,1,"207,693","2,026","103,049","3,367,834","30,598 "
205,207,Turks and Caicos,"5,963",,36 ,,"5,862",,65,4,"150,311",907,"488,787","12,321,015","39,671 "
206,208,Sao Tome and Principe,"5,957",,73 ,,"5,880",,4,,"26,292",322,"29,036","128,155","226,570 "
207,209,Saint Kitts and Nevis,"5,562",,43 ,,"5,518",,1,,"103,222",798,"65,141","1,208,912","53,884 "
208,210,Cook Islands,"5,031",+41,1 ,,"4,733",+118,297,,"285,966",57,"16,607","943,955","17,593 "
209,211,Palau,"4,610",+124,6  ,,"3,984",+71,620,1,"252,589",329,"46,016","2,521,287","18,251 "
210,212,St. Barth,"4,544",,6 ,,N/A,N/A,N/A,,"457,511",604,"78,646","7,918,445","9,932 "
211,213,Kiribati,"3,081",+1,13 ,,"2,601",+2,467,3,"25,092",106,,,"122,787 "
212,214,Anguilla,"2,788",,9 ,,"2,766",,13,4,"182,856",590,"51,382","3,369,974","15,247 "
213,215,Saint Pierre Miquelon,"2,701",+60,1 ,,"2,449",,251,1,"470,394",174,"23,446","4,083,246","5,742 "
